problem_id,function_name,summary_ja,haiku-4-5_en_python,gpt-5.4_en_python,haiku-4-5_pyguide_ja_yui
0,has_close_elements,リストnumbersの中に、与えられたthresholdより近い２つの数値が存在するか判定する,pass,pass,fail
1,separate_paren_groups,この関数への入力は、入れ子になった括弧が複数含まれる文字列である。 あなたの目的は、これらの括弧を別々の文字列に分割し、そのリストを返すことである。 分離された括弧はバランスがとれ、つまり、開いた括弧はそれぞれ適切に閉じられていて、 互いに入れ子になっていない。引数の文字列内の空白は無視せよ。,pass,pass,fail
2,truncate_number,正の浮動小数点数が与えられると、それを整数部（与えられた数より小さい最大の整数） と小数部（常に1より小さい残余部分）に分解することができる。,pass,pass,pass
3,below_zero,銀行口座に対する入出金操作のリストが与えられます。あなたのタスクは、残高ゼロから 始まて、口座の残高がゼロ以下になったかどうかを検出し、その時点で関数がTrueを 返すようにすることです。そうでなければFalseを返すようにしてください。,pass,pass,fail
4,mean_absolute_deviation,第一引数の数値リストに対して、このデータセットの平均値を中心とした平均絶対偏差(MAD)を計算する。 平均絶対偏差(MAD)とは、各要素と中心点（この場合は平均値）との差の絶対値の平均である: MAD = 平均｜x - x_mean｜,pass,pass,pass
5,intersperse,数値リスト numbers 中の全ての連続する二要素の間に、'delimeterの値を挿入する,pass,pass,pass
6,parse_nested_parens,この関数の入力は、空白で区切られた複数の入れ子になった括弧のグループを表す文字列です。 各グループについて、括弧の最も深い入れ子のレベルを出力します。 例えば、'(()())'は最大で2レベルの入れ子になっていますが、'((()))'は3レベルです。,pass,pass,pass
7,filter_by_substring,文字列リストstringsを、与えれた部分文字列substringを含むものだけにフィルタする,pass,pass,fail
8,sum_product,与えられた整数リストに対して、リスト内のすべての整数の和と積からなるタプルを返す。 ただし、空の和は0、空の積は1とする。,pass,pass,fail
9,rolling_max,与えられた整数リストから、各要素のそこまでの最大値（ローリング最大値）のリストを生成する。,pass,pass,fail
10,is_palindrome,与えられた文字列が回文かどうかをテストします。,pass,pass,fail
11,string_xor,引数は1と0のみからなる文字列aとbである。 これらの引数に対して排他論理和(XOR)を実行し、結果を文字列として返す。,pass,pass,fail
12,longest,文字列のリストのうち、最も長いものを返す。同じ長さの文字列が 複数ある場合は最初のものを返す。入力リストが空の場合は None を返す。,pass,pass,fail
13,greatest_common_divisor,整数 a と b の最大公約数を返す,pass,pass,pass
14,all_prefixes,引数で与えられた文字列に対して、短いものから長いものへ、全ての接頭辞のリストを返す,pass,pass,pass
15,string_sequence,0からnまでの数字を空白区切りで連結した文字列で返す。,pass,pass,fail
16,count_distinct_characters,文字列が与えられたとき、その文字列が（大文字小文字に関係なく）いくつの異なる文字が含まれているか数える,pass,pass,fail
17,parse_music,この関数の引数は、特別なASCII形式の音符を表す文字列である。あなたの仕事は、この文字列を解析して、それぞれの音符が何拍続くかに対応する整数のリストを返すことである。 ここに凡例がある： o' - 全音符、4拍続く o|' - 2分音符、2拍続く .|」-4分音符、1拍続く,pass,pass,fail
18,how_many_times,部分文字列substringが文字列stringの中で何回見つかるか数える。 重なるケースもカウントに含まれる。,pass,pass,fail
19,sort_numbers,"引数は'zero'から'nine'までの英単語の数を空白で区切った文字列である。 有効な英単語は''、'zero', 'one'、'two'、'three'、'four'、'five'、'six'、'seven'、'eight'、'nine'である。 関数は、英単語の数を小さい方から大きい方へとソートした文字列を返す。",pass,pass,fail
20,find_closest_elements,（少なくとも長さ2以上の）リストnumbersから、互いに最も近いものを2つ選び、 順番に（小さい数、大きい数）返す。,pass,pass,fail
21,rescale_to_unit,(少なくとも 2 つ以上の要素からなる) リストnumbersに線形変換を適用し、 最小の数値が 0 になり、最大の数値が 1 になるリストを返す,pass,pass,fail
22,filter_integers,任意の種類の値が含まれるリストから整数値のみ抽出する,pass,pass,pass
23,strlen,引数で与えられた文字列の長さを返す,pass,pass,pass
24,largest_divisor,与えられた数nについて、nの約数のうち、nより小さい最大の数を求める,pass,pass,fail
25,factorize,与えられた整数の素因数のリストを小さいものから大きいものの順に返す。各因数は、 因数分解で現れる回数分、リストに登場する。引数の整数は全ての因数の積に等しくな ければならない。,pass,pass,fail
26,remove_duplicates,整数のリストから、複数回出現する要素をすべて取り除く。 要素の順序は入力と同じようにする。,pass,pass,pass
27,flip_case,与えられた文字列に対して、英小文字を英大文字に、英大文字を英小文字に変換する。,pass,pass,fail
28,concatenate,文字列のリストを1つの文字列に連結する,pass,pass,fail
29,filter_by_prefix,文字列のリストから、指定された接頭辞prefixで始まるものだけを取り出す。,pass,pass,fail
30,get_positive,リスト内の正の数だけを返す。,pass,pass,pass
31,is_prime,与えられた数が素数であれば真を、そうでなければ偽を返す。,pass,pass,fail
32,poly,点xにおける係数xsを持つ多項式の値を計算する。 return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n,fail,pass,fail
33,sort_third,この関数はリストlを受け取り、l'を返す。l'は、インデックスが3で割り 切れない場合はlと同じであるが、インデックスが3で割り切れる要素は ソートされている。,pass,pass,fail
34,unique,リスト内のユニークな要素をソートして返す,pass,pass,fail
35,max_element,リスト内の最大要素を返す。,pass,pass,pass
36,fizz_buzz,11または13で割り切れるn未満の整数の中に7という数字が現れる回数を返す。,pass,pass,pass
37,sort_even,この関数はリスト l を受け取り、l' を返す。l'は、インデックスが奇数の ときは l と同じで、インデックスが偶数のときはソートされている。,pass,pass,fail
38,encode_cyclic,3文字ごとに循環させてエンコードした文字列を返す。,pass,pass,fail
39,prime_fib,prime_fib はフィボナッチ数で、かつ素数であるn番目の数を返す。,pass,pass,fail
40,triples_sum_to_zero,triples_sum_to_zero は整数のリストを引数に取り、 リストの中に和が0になる３つの要素があればTrueを、 そうでなければFalseを返す。,pass,pass,fail
41,car_race_collision,完全な直線で無限に長い道路を想像してほしい。 n台の車が左から右に向かって走っている。同時に、別のn台の車が 右から左に向かって走っている。この2組の車は、最初は互いに非 常に離れている。すべての車は同じ速度で動く。2台の車は次のよ うに衝突する。左から右に動いている車が、右から左に動いている 車にぶつかること。 しかし、車は限りなく頑丈で強い。あたかも衝突しなかったかのよ うに、その軌道を進み続ける。,pass,pass,pass
42,incr_list,要素を1ずつ増やしたリストを返す。,pass,pass,fail
43,pairs_sum_to_zero,pairs_sum_to_zero は整数のリストを引数にとる。 リストの中に２つの要素の和がゼロになる要素があればTrueを、 そうでなければFalseを返す。,pass,pass,fail
44,change_base,引数xの基数をbaseに変換する。 返り値は変換後の文字列表現である。 基数は10未満である。,pass,pass,fail
45,triangle_area,三角形の一辺の長さと高さが与えられたとき、面積を返す。,pass,pass,fail
46,fib4,fib4数列はフィボナッチ数列に似た数列で、次のように定義される： fib4(0) -> 0 fib4(1) -> 0 fib4(2) -> 2 fib4(3) -> 0 fib4(n) -> fib4(n-1) + fib4(n-2) + fib4(n-3) + fib4(n-4). fib4数列のn番目の要素を効率的に計算する関数を書け。再帰は使わないこと。,pass,pass,pass
47,median,リスト l の要素の中央値を返す。,pass,pass,fail
48,is_palindrome,与えられた文字列が回文かどうかを判定する,pass,pass,fail
49,modp,2^n を p で割ったモジュロを返す。計算精度に注意。,pass,pass,pass
50,encode_shift,アルファベットの各文字を5ずつずらしてエンコードした文字列を返す。,pass,pass,fail
51,remove_vowels,remove_vowelsは文字列を引数に取り、母音を除いた文字列を返す関数である。,pass,pass,pass
52,below_threshold,リスト l 内の全ての数値が閾値 t 以下の場合、Trueを返す。,pass,pass,fail
53,add,2つの数xとyを足す,pass,pass,pass
54,same_chars,2つの単語が同じ文字セットから構成されるかどうか判定する。,fail,pass,fail
55,fib,n番目のフィボナッチ数を返す。,pass,pass,pass
56,correct_bracketing,"引数bracketsは""<""と"">""の文字列である。 すべての開き括弧が対応する閉じ括弧を持つ場合、Trueを返す。",pass,pass,fail
57,monotonic,リストの要素が単調増加または単調減少する場合にTrueを返す。,pass,pass,fail
58,common,2つのリストについて、ユニークな共通要素をソートして返す。,pass,pass,fail
59,largest_prime_factor,nの最大となる素因数を返す。ただし、 n > 1 を前提とし、素数ではないものとする。,pass,pass,pass
60,sum_to_n,sum_to_nは1からnまでの総和を求める関数である。,pass,pass,fail
61,correct_bracketing,"引数bracketsは""(""と"") ""からなる文字列である。 すべての開き括弧が対応する閉じ括弧を持つ場合、Trueを返す。",pass,pass,fail
62,derivative,xsは多項式の係数列を表す。 xs[0] + xs[1] * x + xs[2] * x^2 + .... 関数は、この多項式の導関数を同じ形式で返す。,pass,pass,fail
